cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
5,Ávila,Castilla y León,2019,347.56785714285706,0.9967743538313801,1051.3123416666667,26-35,33.06,346.45,1
5,Ávila,Castilla y León,2019,347.56785714285706,0.9967743538313801,1330.27771,36-45,26.13,346.45,0
5,Ávila,Castilla y León,2020,350.0,1.0,539.5020416666666,18-25,64.87,350.0,1
5,Ávila,Castilla y León,2020,350.0,1.0,1044.1691879166667,26-35,33.52,350.0,1
5,Ávila,Castilla y León,2020,350.0,1.0,1317.4663899999998,36-45,26.57,350.0,0
5,Ávila,Castilla y León,2021,359.7,0.9699974935414286,552.2228333333334,18-25,65.14,348.91,1
5,Ávila,Castilla y León,2021,359.7,0.9699974935414286,1114.2053083333333,26-35,32.28,348.91,1
5,Ávila,Castilla y León,2021,359.7,0.9699974935414286,1376.0070049999997,36-45,26.14,348.91,0
5,Ávila,Castilla y León,2022,377.8467908902691,0.8949107299739896,612.1588333333333,18-25,61.72,338.14,1
5,Ávila,Castilla y León,2022,377.8467908902691,0.8949107299739896,1183.5999583333335,26-35,31.92,338.14,1
5,Ávila,Castilla y León,2022,377.8467908902691,0.8949107299739896,1436.0304116666666,36-45,26.31,338.14,0
5,Ávila,Castilla y León,2023,400.0,0.8643768521205406,652.4335791666666,18-25,61.31,345.75,1
5,Ávila,Castilla y León,2023,400.0,0.8643768521205406,1248.5462333333332,26-35,32.04,345.75,1
5,Ávila,Castilla y León,2023,400.0,0.8643768521205406,1492.8509883333334,36-45,26.79,345.75,0
5,Ávila,Castilla y León,2024,420.0,0.8410456579083591,677.1501554166667,18-25,62.02,353.24,1
5,Ávila,Castilla y León,2024,420.0,0.8410456579083591,1300.4439416666667,26-35,32.3,353.24,1
5,Ávila,Castilla y León,2024,420.0,0.8410456579083591,1547.7142800000001,36-45,27.14,353.24,0
6,Badajoz,Extremadura,2011,350.0,1.0717791932800231,473.5568333333333,18-25,73.91,375.12,1
6,Badajoz,Extremadura,2011,350.0,1.0717791932800231,931.3326441666667,26-35,37.58,375.12,1
6,Badajoz,Extremadura,2011,350.0,1.0717791932800231,1090.1887979166668,36-45,32.1,375.12,1
6,Badajoz,Extremadura,2012,350.0,1.0461898360861621,413.933,18-25,84.55,366.17,1
6,Badajoz,Extremadura,2012,350.0,1.0461898360861621,867.4235429166666,26-35,40.35,366.17,1
6,Badajoz,Extremadura,2012,350.0,1.0461898360861621,1042.5256304166667,36-45,33.57,366.17,1
6,Badajoz,Extremadura,2013,348.40909090909093,1.031656722448744,359.53795833333334,18-25,96.9,359.44,1
6,Badajoz,Extremadura,2013,348.40909090909093,1.031656722448744,832.5927666666666,26-35,41.85,359.44,1
6,Badajoz,Extremadura,2013,348.40909090909093,1.031656722448744,1047.7723716666667,36-45,33.25,359.44,1
6,Badajoz,Extremadura,2014,337.5,1.0332160647146191,350.485125,18-25,96.3,348.71,1
6,Badajoz,Extremadura,2014,337.5,1.0332160647146191,820.7085816666666,26-35,41.12,348.71,1
6,Badajoz,Extremadura,2014,337.5,1.0332160647146191,1054.3466016666666,36-45,32.01,348.71,1
6,Badajoz,Extremadura,2015,332.7348066298343,1.0384115222946557,354.8554583333333,18-25,93.77,345.52,1
6,Badajoz,Extremadura,2015,332.7348066298343,1.0384115222946557,820.6453679166666,26-35,40.55,345.52,1
6,Badajoz,Extremadura,2015,332.7348066298343,1.0384115222946557,1070.8453904166668,36-45,31.07,345.52,1
6,Badajoz,Extremadura,2016,345.8912037037037,1.0405208860397714,362.89375,18-25,95.31,359.91,1
6,Badajoz,Extremadura,2016,345.8912037037037,1.0405208860397714,816.4732604166667,26-35,42.36,359.91,1
6,Badajoz,Extremadura,2016,345.8912037037037,1.0405208860397714,1089.9991566666665,36-45,31.73,359.91,1
6,Badajoz,Extremadura,2017,350.0,1.0205611862446453,390.8326666666667,18-25,89.55,357.2,1
6,Badajoz,Extremadura,2017,350.0,1.0205611862446453,822.2257116666666,26-35,42.57,357.2,1
6,Badajoz,Extremadura,2017,350.0,1.0205611862446453,1104.1816366666667,36-45,31.7,357.2,1
6,Badajoz,Extremadura,2018,350.0,1.0037444693258832,418.22529166666664,18-25,83.69,351.31,1
6,Badajoz,Extremadura,2018,350.0,1.0037444693258832,854.2750829166666,26-35,40.97,351.31,1
6,Badajoz,Extremadura,2018,350.0,1.0037444693258832,1136.9809883333335,36-45,30.78,351.31,1
6,Badajoz,Extremadura,2019,360.6922782342292,0.9967743538313801,463.56750000000005,18-25,77.81,359.53,1
6,Badajoz,Extremadura,2019,360.6922782342292,0.9967743538313801,909.2710454166667,26-35,39.67,359.53,1
6,Badajoz,Extremadura,2019,360.6922782342292,0.9967743538313801,1183.9558283333333,36-45,30.47,359.53,1
6,Badajoz,Extremadura,2020,375.0,1.0,466.92329166666667,18-25,80.31,375.0,1
6,Badajoz,Extremadura,2020,375.0,1.0,902.8864566666666,26-35,41.53,375.0,1
6,Badajoz,Extremadura,2020,375.0,1.0,1183.1847766666667,36-45,31.69,375.0,1
6,Badajoz,Extremadura,2021,380.0,0.9699974935414286,501.65183333333334,18-25,75.75,368.6,1
6,Badajoz,Extremadura,2021,380.0,0.9699974935414286,962.6234504166667,26-35,39.48,368.6,1
6,Badajoz,Extremadura,2021,380.0,0.9699974935414286,1230.98998,36-45,30.87,368.6,1
6,Badajoz,Extremadura,2022,400.0,0.8949107299739896,543.63825,18-25,73.58,357.96,1
6,Badajoz,Extremadura,2022,400.0,0.8949107299739896,1019.7054666666667,26-35,39.23,357.96,1
6,Badajoz,Extremadura,2022,400.0,0.8949107299739896,1279.566235,36-45,31.26,357.96,1
6,Badajoz,Extremadura,2023,400.0,0.8643768521205406,589.1365416666666,18-25,67.9,345.75,1
6,Badajoz,Extremadura,2023,400.0,0.8643768521205406,1083.6145679166666,26-35,36.91,345.75,1
6,Badajoz,Extremadura,2023,400.0,0.8643768521205406,1336.2088766666668,36-45,29.94,345.75,0
6,Badajoz,Extremadura,2024,430.0,0.8410456579083591,617.2315416666667,18-25,69.67,361.65,1
6,Badajoz,Extremadura,2024,430.0,0.8410456579083591,1148.606075,26-35,37.44,361.65,1
6,Badajoz,Extremadura,2024,430.0,0.8410456579083591,1387.1575983333332,36-45,31.0,361.65,1
7,"Balears, Illes","Balears, Illes",2011,500.0,1.0717791932800231,590.9315,18-25,84.61,535.89,1
7,"Balears, Illes","Balears, Illes",2011,500.0,1.0717791932800231,1082.7927891666666,26-35,46.18,535.89,1
7,"Balears, Illes","Balears, Illes",2011,500.0,1.0717791932800231,1345.58012,36-45,37.16,535.89,1
7,"Balears, Illes","Balears, Illes",2012,491.6660416666667,1.0461898360861621,546.681875,18-25,89.94,514.38,1
7,"Balears, Illes","Balears, Illes",2012,491.6660416666667,1.0461898360861621,1034.0549879166667,26-35,47.55,514.38,1
7,"Balears, Illes","Balears, Illes",2012,491.6660416666667,1.0461898360861621,1303.23159,36-45,37.73,514.38,1
7,"Balears, Illes","Balears, Illes",2013,476.6666666666667,1.031656722448744,506.10020833333334,18-25,94.18,491.76,1
7,"Balears, Illes","Balears, Illes",2013,476.6666666666667,1.031656722448744,1019.1365429166667,26-35,46.77,491.76,1
7,"Balears, Illes","Balears, Illes",2013,476.6666666666667,1.031656722448744,1299.3763316666666,36-45,36.68,491.76,1
